Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,,,
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104,0:03:35,5
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,,,
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,,,
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,,,
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13,0:01:15,5
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119,0:02:32,5
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35,0:01:19,3
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83,0:06:45,4
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48,0:02:52,2
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45,0:03:23,5
ID0059,Dan,2021-01-02,9:05:46,Technical Support,Y,Y,65,0:06:00,5
ID0060,Dan,2021-01-02,9:05:46,Contract related,Y,Y,50,0:04:26,3
ID0061,Diane,2021-01-02,9:18:43,Streaming,Y,Y,17,0:06:15,3
ID0062,Joe,2021-01-02,9:18:43,Technical Support,N,N,,,
ID0063,Dan,2021-01-02,9:20:10,Streaming,Y,Y,96,0:06:46,1
ID0064,Stewart,2021-01-02,9:20:10,Streaming,Y,Y,90,0:06:23,3
ID0065,Jim,2021-01-02,9:38:53,Contract related,Y,Y,98,0:06:25,2
ID0066,Diane,2021-01-02,9:38:53,Technical Support,Y,N,90,0:01:23,4
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98,0:05:49,5
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70,0:03:12,5
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69,0:04:45,4
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,,,
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120,0:02:11,4
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113,0:05:51,5
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10,0:02:19,5
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122,0:04:53,1
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125,0:01:38,3
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,,,
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33,0:06:38,2
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51,0:06:22,2
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58,0:03:28,3
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121,0:04:47,5
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118,0:02:06,4
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52,0:06:56,4
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55,0:04:44,3
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68,0:05:59,4
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106,0:04:22,5
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32,0:04:36,3
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,,,
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45,0:01:26,4
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119,0:03:32,4
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,,,
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46,0:05:41,1
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101,0:01:28,3
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56,0:02:52,3
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80,0:00:53,3
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24,0:01:36,3
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113,0:03:54,2
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19,0:02:03,4
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,,,
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45,0:06:37,3
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95,0:05:11,1
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,,,
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79,0:05:31,1
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22,0:03:56,2
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38,0:06:36,1
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112,0:03:25,5
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65,0:04:57,3
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,,,
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55,0:02:32,1
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,,,
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19,0:02:38,2
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53,0:00:56,3
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24,0:06:06,5
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73,0:06:01,3
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,,,
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55,0:05:47,5
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,,,
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,,,
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23,0:05:18,4
ID0119,Dan,2021-01-03,9:10:05,Payment related,Y,N,124,0:02:23,5
ID0120,Dan,2021-01-03,9:10:05,Contract related,N,N,,,
ID0121,Dan,2021-01-03,9:47:31,Technical Support,Y,Y,103,0:01:01,4
ID0122,Martha,2021-01-03,9:47:31,Contract related,Y,Y,69,0:03:45,4
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78,0:01:12,3
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78,0:03:26,5
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,,,
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44,0:05:38,4
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35,0:02:46,4
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102,0:05:26,4
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99,0:05:51,3
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29,0:04:09,3
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42,0:00:59,5
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113,0:05:40,4
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124,0:00:53,2
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,,,
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55,0:02:13,1
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105,0:05:59,3
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112,0:03:12,5
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,,,
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43,0:06:20,5
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20,0:01:44,3
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84,0:01:43,5
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20,0:02:44,4
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101,0:02:16,3
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31,0:02:55,5
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56,0:04:09,5
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,,,
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77,0:01:27,5
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46,0:00:50,4
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88,0:04:26,3
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88,0:00:58,1
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124,0:06:03,1
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,,,
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52,0:06:59,4
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67,0:06:10,5
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119,0:04:16,3
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98,0:04:37,2
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,,,
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118,0:04:18,3
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123,0:01:15,3
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86,0:05:37,1
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104,0:02:09,3
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69,0:01:33,2
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113,0:02:38,1
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88,0:03:23,5
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,,,
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,,,
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84,0:00:58,2
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113,0:01:22,3
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38,0:05:31,4
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14,0:06:14,4
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25,0:05:32,4
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,,,
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,,,
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117,0:02:07,4
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57,0:06:01,2
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119,0:05:19,5
ID0177,Martha,2021-01-04,9:01:26,Contract related,N,N,,,
ID0178,Diane,2021-01-04,9:01:26,Streaming,Y,Y,93,0:06:32,5
ID0179,Martha,2021-01-04,9:31:41,Payment related,Y,Y,86,0:01:04,4
ID0180,Joe,2021-01-04,9:31:41,Streaming,N,N,,,
ID0181,Dan,2021-01-04,9:43:12,Contract related,Y,Y,92,0:02:59,3
ID0182,Greg,2021-01-04,9:43:12,Streaming,N,N,,,
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106,0:05:42,3
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67,0:02:44,3
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90,0:04:17,3
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,,,
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50,0:03:49,4
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89,0:04:16,3
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74,0:06:18,3
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63,0:02:22,2
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45,0:06:31,5
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,,,
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31,0:06:43,2
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,,,
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43,0:03:44,5
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50,0:05:42,4
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48,0:05:12,4
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113,0:02:44,5
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,,,
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103,0:06:40,5
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95,0:04:27,3
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30,0:05:04,1
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124,0:03:19,3
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17,0:02:03,5
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113,0:06:00,3
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25,0:02:27,5
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52,0:04:22,5
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28,0:02:44,5
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69,0:03:05,3
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106,0:03:52,3
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,,,
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26,0:04:59,3
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53,0:05:55,4
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77,0:04:10,2
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45,0:03:02,3
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,,,
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56,0:04:16,4
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13,0:03:56,2
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120,0:06:50,5
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22,0:00:50,1
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81,0:03:21,4
ID0222,Jim,2021-01-04,16:48:00,Streaming,N,N,,,
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71,0:00:48,2
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75,0:01:33,4
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77,0:02:42,4
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88,0:06:27,4
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82,0:03:05,2
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110,0:06:30,3
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70,0:01:32,3
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117,0:03:40,3
ID0231,Joe,2021-01-05,9:08:38,Streaming,Y,Y,18,0:00:50,3
ID0232,Joe,2021-01-05,9:08:38,Streaming,Y,Y,113,0:02:36,4
ID0233,Stewart,2021-01-05,9:25:55,Contract related,Y,N,68,0:03:29,5
ID0234,Greg,2021-01-05,9:25:55,Payment related,Y,Y,67,0:04:14,5
ID0235,Joe,2021-01-05,9:33:07,Technical Support,Y,Y,36,0:01:07,5
ID0236,Stewart,2021-01-05,9:33:07,Streaming,N,N,,,
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33,0:02:30,1
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113,0:01:59,5
ID0239,Greg,2021-01-05,10:49:26,Contract related,Y,Y,106,0:06:19,3
ID0240,Joe,2021-01-05,10:49:26,Streaming,Y,Y,23,0:04:59,3
ID0241,Joe,2021-01-05,11:31:12,Streaming,N,N,,,
ID0242,Greg,2021-01-05,11:31:12,Payment related,Y,Y,11,0:04:42,1
ID0243,Greg,2021-01-05,11:41:17,Contract related,Y,Y,73,0:04:45,5
ID0244,Dan,2021-01-05,11:41:17,Admin Support,Y,Y,109,0:04:49,5
ID0245,Martha,2021-01-05,11:49:55,Payment related,Y,Y,29,0:04:14,4
ID0246,Dan,2021-01-05,11:49:55,Streaming,N,N,,,
ID0247,Becky,2021-01-05,11:49:55,Admin Support,Y,Y,81,0:01:14,4
ID0248,Greg,2021-01-05,11:49:55,Contract related,Y,Y,59,0:03:52,1
ID0249,Becky,2021-01-05,12:00:00,Streaming,Y,Y,32,0:06:29,4
ID0250,Martha,2021-01-05,12:00:00,Admin Support,Y,Y,116,0:00:42,4
ID0251,Diane,2021-01-05,12:12:58,Payment related,Y,Y,92,0:01:55,5
ID0252,Greg,2021-01-05,12:12:58,Streaming,Y,Y,62,0:06:02,5
ID0253,Joe,2021-01-05,13:04:48,Payment related,Y,Y,83,0:01:53,5
ID0254,Joe,2021-01-05,13:04:48,Admin Support,Y,Y,71,0:02:31,3
ID0255,Greg,2021-01-05,13:59:31,Admin Support,Y,N,74,0:04:32,3
ID0256,Joe,2021-01-05,13:59:31,Technical Support,Y,Y,96,0:05:46,4
ID0257,Diane,2021-01-05,14:42:43,Admin Support,Y,Y,110,0:01:41,1
ID0258,Jim,2021-01-05,14:42:43,Streaming,Y,N,110,0:02:38,3
ID0259,Dan,2021-01-05,15:18:43,Technical Support,Y,Y,117,0:03:03,4
ID0260,Becky,2021-01-05,15:18:43,Admin Support,Y,Y,44,0:05:53,3
ID0261,Diane,2021-01-05,15:20:10,Contract related,Y,Y,47,0:06:02,4
ID0262,Greg,2021-01-05,15:20:10,Admin Support,Y,Y,97,0:01:16,3
ID0263,Greg,2021-01-05,15:31:41,Streaming,Y,Y,67,0:02:39,4
ID0264,Diane,2021-01-05,15:31:41,Streaming,Y,Y,72,0:06:48,3
ID0265,Becky,2021-01-05,15:31:41,Contract related,Y,Y,68,0:04:21,3
ID0266,Joe,2021-01-05,15:31:41,Payment related,Y,Y,98,0:06:22,5
ID0267,Joe,2021-01-05,15:37:26,Streaming,Y,Y,120,0:00:56,3
ID0268,Dan,2021-01-05,15:37:26,Payment related,Y,Y,13,0:02:33,1
ID0269,Jim,2021-01-05,15:44:38,Admin Support,Y,Y,95,0:01:47,5
ID0270,Martha,2021-01-05,15:44:38,Payment related,Y,Y,31,0:00:42,5
ID0271,Dan,2021-01-05,16:06:14,Streaming,Y,Y,113,0:06:22,3
ID0272,Martha,2021-01-05,16:06:14,Technical Support,Y,Y,116,0:04:40,3
ID0273,Martha,2021-01-05,16:16:19,Admin Support,Y,N,94,0:05:29,5
ID0274,Martha,2021-01-05,16:16:19,Admin Support,Y,N,51,0:04:42,4
ID0275,Diane,2021-01-05,16:27:50,Technical Support,Y,Y,60,0:04:07,4
ID0276,Diane,2021-01-05,16:27:50,Contract related,Y,Y,59,0:06:04,2
ID0277,Stewart,2021-01-05,17:25:26,Technical Support,N,N,,,
ID0278,Greg,2021-01-05,17:25:26,Payment related,N,N,,,
ID0279,Joe,2021-01-05,17:29:46,Technical Support,N,N,,,
ID0280,Dan,2021-01-05,17:29:46,Contract related,Y,Y,16,0:03:33,4
ID0281,Diane,2021-01-05,17:38:24,Technical Support,Y,Y,81,0:01:51,3
ID0282,Joe,2021-01-05,17:38:24,Streaming,Y,Y,65,0:06:46,1
ID0283,Martha,2021-01-05,17:44:10,Streaming,Y,Y,55,0:03:04,2
ID0284,Martha,2021-01-05,17:44:10,Technical Support,N,N,,,
ID0285,Martha,2021-01-05,17:57:07,Technical Support,Y,Y,31,0:02:25,4
ID0286,Diane,2021-01-05,17:57:07,Streaming,Y,Y,45,0:05:13,2
ID0287,Greg,2021-01-06,9:08:38,Technical Support,N,N,,,
ID0288,Stewart,2021-01-06,9:08:38,Payment related,Y,Y,43,0:02:09,5
ID0289,Stewart,2021-01-06,10:06:14,Technical Support,Y,Y,55,0:05:56,4
ID0290,Stewart,2021-01-06,10:06:14,Contract related,Y,Y,63,0:02:19,3
ID0291,Joe,2021-01-06,10:07:41,Payment related,N,N,,,
ID0292,Jim,2021-01-06,10:07:41,Contract related,Y,Y,122,0:05:52,1
ID0293,Stewart,2021-01-06,10:32:10,Contract related,Y,Y,71,0:02:39,4
ID0294,Jim,2021-01-06,10:32:10,Technical Support,Y,Y,54,0:04:57,4
ID0295,Stewart,2021-01-06,10:42:14,Streaming,Y,Y,74,0:03:22,4
ID0296,Stewart,2021-01-06,10:42:14,Admin Support,Y,Y,125,0:04:47,4
ID0297,Dan,2021-01-06,11:12:29,Payment related,Y,Y,110,0:03:43,3
ID0298,Becky,2021-01-06,11:12:29,Streaming,N,N,,,
ID0299,Martha,2021-01-06,11:29:46,Technical Support,Y,Y,74,0:01:31,5
ID0300,Diane,2021-01-06,11:29:46,Payment related,Y,Y,80,0:04:27,4
ID0301,Dan,2021-01-06,11:38:24,Payment related,N,N,,,
ID0302,Joe,2021-01-06,11:38:24,Contract related,Y,Y,110,0:03:54,2
ID0303,Stewart,2021-01-06,11:45:36,Payment related,Y,Y,26,0:03:08,3
ID0304,Greg,2021-01-06,11:45:36,Technical Support,N,N,,,
ID0305,Joe,2021-01-06,12:05:46,Admin Support,Y,Y,97,0:01:47,3
ID0306,Dan,2021-01-06,12:05:46,Admin Support,Y,N,82,0:05:40,3
ID0307,Becky,2021-01-06,12:07:12,Streaming,Y,N,102,0:05:53,5
ID0308,Jim,2021-01-06,12:07:12,Admin Support,Y,Y,120,0:00:52,5
ID0309,Greg,2021-01-06,13:30:43,Streaming,Y,Y,70,0:05:19,3
ID0310,Diane,2021-01-06,13:30:43,Admin Support,N,N,,,
ID0311,Stewart,2021-01-06,13:58:05,Payment related,Y,Y,122,0:02:56,3
ID0312,Martha,2021-01-06,13:58:05,Streaming,N,N,,,
ID0313,Joe,2021-01-06,14:03:50,Payment related,Y,Y,19,0:00:55,1
ID0314,Greg,2021-01-06,14:03:50,Payment related,Y,Y,71,0:02:37,4
ID0315,Joe,2021-01-06,14:13:55,Technical Support,Y,Y,24,0:04:59,1
ID0316,Martha,2021-01-06,14:13:55,Technical Support,Y,Y,67,0:05:36,1
ID0317,Martha,2021-01-06,14:32:38,Streaming,Y,N,57,0:04:14,3
ID0318,Diane,2021-01-06,14:32:38,Streaming,Y,Y,108,0:05:03,4
ID0319,Stewart,2021-01-06,14:57:07,Payment related,Y,Y,99,0:04:08,4
ID0320,Stewart,2021-01-06,14:57:07,Payment related,Y,Y,56,0:04:52,1
ID0321,Stewart,2021-01-06,15:02:53,Payment related,Y,Y,121,0:03:57,3
ID0322,Greg,2021-01-06,15:02:53,Admin Support,N,N,,,
ID0323,Joe,2021-01-06,15:12:58,Contract related,Y,Y,72,0:06:00,1
ID0324,Greg,2021-01-06,15:12:58,Contract related,Y,Y,54,0:06:15,4
ID0325,Martha,2021-01-06,16:17:46,Admin Support,Y,Y,30,0:04:36,3
ID0326,Jim,2021-01-06,16:17:46,Payment related,Y,Y,44,0:01:04,2
ID0327,Greg,2021-01-06,16:22:05,Payment related,Y,N,97,0:01:58,4
ID0328,Jim,2021-01-06,16:22:05,Streaming,Y,Y,47,0:01:49,3
ID0329,Dan,2021-01-06,16:27:50,Streaming,Y,Y,53,0:01:43,3
ID0330,Dan,2021-01-06,16:27:50,Contract related,N,N,,,
ID0331,Martha,2021-01-06,16:35:02,Payment related,N,N,,,
ID0332,Jim,2021-01-06,16:35:02,Streaming,N,N,,,
